SEASON_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_NAME
1975-76,LAL,29.0,82,82,3379,914,1728,0.529,0,0,,447,636,0.703,272,1111,1383,413,119,338,0,292,2275,Kareem Abdul-Jabbar
1976-77,LAL,30.0,82,82,3016,888,1533,0.579,0,0,,376,536,0.701,266,824,1090,319,101,261,0,262,2152,Kareem Abdul-Jabbar
1979-80,LAL,33.0,82,81,3143,835,1383,0.604,0,1,0.0,364,476,0.765,190,696,886,371,81,280,297,216,2034,Kareem Abdul-Jabbar
1977-78,POR,25.0,58,0,1929,460,882,0.522,0,0,,177,246,0.72,118,648,766,291,60,146,206,145,1097,Bill Walton
1978-79,HOU,24.0,82,82,3390,716,1325,0.54,0,0,,599,811,0.739,587,857,1444,147,79,119,326,223,2031,Moses Malone
1981-82,HOU,27.0,81,81,3398,945,1822,0.519,0,6,0.0,630,827,0.762,558,630,1188,142,76,125,294,208,2520,Moses Malone
1982-83,PHL,28.0,78,78,2922,654,1305,0.501,0,1,0.0,600,788,0.761,445,749,1194,101,89,157,264,206,1908,Moses Malone
1983-84,BOS,27.0,79,77,3028,758,1542,0.492,18,73,0.247,374,421,0.888,181,615,796,520,144,69,237,197,1908,Larry Bird
1984-85,BOS,28.0,80,77,3161,918,1760,0.522,56,131,0.427,403,457,0.882,164,678,842,531,129,98,248,208,2295,Larry Bird
1985-86,BOS,29.0,82,81,3113,796,1606,0.496,82,194,0.423,441,492,0.896,190,615,805,557,166,51,266,182,2115,Larry Bird
1986-87,LAL,27.0,80,80,2904,683,1308,0.522,8,39,0.205,535,631,0.848,122,382,504,977,138,36,300,168,1909,Magic Johnson
1988-89,LAL,29.0,77,77,2886,579,1137,0.509,59,188,0.314,513,563,0.911,111,496,607,988,138,22,312,172,1730,Magic Johnson
1989-90,LAL,30.0,79,79,2937,546,1138,0.48,106,276,0.384,567,637,0.89,128,394,522,907,132,34,289,167,1765,Magic Johnson
1987-88,CHI,25.0,82,82,3311,1069,1998,0.535,7,53,0.132,723,860,0.841,139,310,449,485,259,131,252,270,2868,Michael Jordan
